weblocation,todownload,localname,layername
https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_kg1_1981-2010_V.2.1.tif ,0,,
https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_kg2_1981-2010_V.2.1.tif ,0,,
https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_kg3_1981-2010_V.2.1.tif ,0,,
https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_kg4_1981-2010_V.2.1.tif ,0,,
https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_kg5_1981-2010_V.2.1.tif ,0,,
https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_lgd_1981-2010_V.2.1.tif ,1,Climate_CHELSAv2.1-lgd_cell.tif,egv_046
https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_ngd0_1981-2010_V.2.1.tif ,1,Climate_CHELSAv2.1-ngd0_cell.tif,egv_047
https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_ngd10_1981-2010_V.2.1.tif ,1,Climate_CHELSAv2.1-ngd10_cell.tif,egv_048
https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_ngd5_1981-2010_V.2.1.tif ,1,Climate_CHELSAv2.1-ngd5_cell.tif,egv_049
https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_npp_1981-2010_V.2.1.tif ,1,Climate_CHELSAv2.1-npp_cell.tif,egv_050
https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_pet_penman_max_1981-2010_V.2.1.tif ,1,Climate_CHELSAv2.1-pet-penman-max_cell.tif,egv_051
https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_pet_penman_mean_1981-2010_V.2.1.tif ,1,Climate_CHELSAv2.1-pet-penman-mean_cell.tif,egv_052
https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_pet_penman_min_1981-2010_V.2.1.tif ,1,Climate_CHELSAv2.1-pet-penman-min_cell.tif,egv_053
https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_pet_penman_range_1981-2010_V.2.1.tif ,1,Climate_CHELSAv2.1-pet-penman-range_cell.tif,egv_054
https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_rsds_1981-2010_max_V.2.1.tif ,1,Climate_CHELSAv2.1-rsds-max_cell.tif,egv_055
https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_rsds_1981-2010_mean_V.2.1.tif ,1,Climate_CHELSAv2.1-rsds-mean_cell.tif,egv_056
https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_rsds_1981-2010_min_V.2.1.tif ,1,Climate_CHELSAv2.1-rsds-min_cell.tif,egv_057
https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_rsds_1981-2010_range_V.2.1.tif ,1,Climate_CHELSAv2.1-rsds-range_cell.tif,egv_058
https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_scd_1981-2010_V.2.1.tif ,1,Climate_CHELSAv2.1-scd_cell.tif,egv_059
https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_sfcWind_max_1981-2010_V.2.1.tif ,1,Climate_CHELSAv2.1-sfcWind-max_cell.tif,egv_060
https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_sfcWind_mean_1981-2010_V.2.1.tif ,1,Climate_CHELSAv2.1-sfcWind-mean_cell.tif,egv_061
https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_sfcWind_min_1981-2010_V.2.1.tif ,1,Climate_CHELSAv2.1-sfcWind-min_cell.tif,egv_062
https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_sfcWind_range_1981-2010_V.2.1.tif ,1,Climate_CHELSAv2.1-sfcWind-range_cell.tif,egv_063
https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_swb_1981-2010_V.2.1.tif ,1,Climate_CHELSAv2.1-swb_cell.tif,egv_064
https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_swe_1981-2010_V.2.1.tif ,1,Climate_CHELSAv2.1-swe_cell.tif,egv_065
https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_vpd_max_1981-2010_V.2.1.tif ,1,Climate_CHELSAv2.1-vpd-max_cell.tif,egv_066
https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_vpd_mean_1981-2010_V.2.1.tif ,1,Climate_CHELSAv2.1-vpd-mean_cell.tif,egv_067
https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_vpd_min_1981-2010_V.2.1.tif ,1,Climate_CHELSAv2.1-vpd-min_cell.tif,egv_068
https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_vpd_range_1981-2010_V.2.1.tif ,1,Climate_CHELSAv2.1-vpd-range_cell.tif,egv_069
